"","gene.name","X","raw.P.values","Adjusted.P.values","Log.fold.change"
"115"," ENSMUSG00000024087 "," Cyp1b1 ",8.87e-06,0.000262,-0.856
"116"," ENSMUSG00000030737 "," Slco2b1 ",2.32e-06,8.91e-05,-0.856
"117"," ENSMUSG00000039005 "," Tlr4 ",6.14e-06,0.000194,-0.855
"118"," ENSMUSG00000029370 "," Rassf6 ",0.00179,0.0179,-0.855
"119"," ENSMUSG00000039456 "," Morc3 ",5.2e-07,2.55e-05,-0.84
"120"," ENSMUSG00000023088 "," Abcc1 ",1.67e-09,1.6e-07,-0.835
"121"," ENSMUSG00000061589 "," Dot1l ",1.2e-07,7.19e-06,-0.831
"122"," ENSMUSG00000027878 "," Notch2 ",2.12e-09,2.02e-07,-0.828
"123"," ENSMUSG00000033308 "," Dpyd ",1.51e-05,0.000407,-0.828
"124"," ENSMUSG00000033943 "," Mga ",0.000176,0.00296,-0.825
"125"," ENSMUSG00000032812 "," Arap1 ",9.44e-11,1.43e-08,-0.824
"126"," ENSMUSG00000004668 "," Abca13 ",0.00022,0.00354,-0.824
"127"," ENSMUSG00000021906 "," Oxnad1 ",0.0106,0.0651,-0.815
"128"," ENSMUSG00000026748 "," Plxdc2 ",1.83e-06,7.23e-05,-0.812
"129"," ENSMUSG00000034394 "," Lif ",1.16e-06,4.93e-05,-0.811
"130"," ENSMUSG00000039298 "," Cdk5rap2 ",4.38e-07,2.23e-05,-0.811
"131"," ENSMUSG00000057596 "," Trim30d ",3.05e-05,0.000715,-0.806
"132"," ENSMUSG00000020120 "," Plek ",0.000378,0.00542,-0.806
"133"," ENSMUSG00000021703 "," Serinc5 ",6.01e-07,2.82e-05,-0.805
"134"," ENSMUSG00000022586 "," Ly6i ",0.000379,0.00543,-0.804
"135"," ENSMUSG00000008193 "," Spib ",0.000446,0.00615,-0.803
"136"," ENSMUSG00000070939 "," Tgfbrap1 ",0.00012,0.00217,-0.803
"137"," ENSMUSG00000031441 "," Atp11a ",3.47e-07,1.85e-05,-0.802
"138"," ENSMUSG00000027698 "," Nceh1 ",4.56e-08,3.2e-06,-0.8
"139"," ENSMUSG00000025612 "," Bach1 ",6.99e-07,3.21e-05,-0.799
"140"," ENSMUSG00000004266 "," Ptpn6 ",0.00315,0.0271,-0.792
"141"," ENSMUSG00000024065 "," Ehd3 ",0.00213,0.0204,-0.788
"142"," ENSMUSG00000096606 "," Gm4980 ",7.21e-05,0.00144,-0.782
"143"," ENSMUSG00000023830 "," Igf2r ",1.23e-05,0.000343,-0.781
"144"," ENSMUSG00000038886 "," Man2a2 ",3.77e-06,0.000132,-0.78
"145"," ENSMUSG00000035459 "," Stab2 ",1.7e-11,3.18e-09,-0.779
"146"," ENSMUSG00000079487 "," Med12 ",0.000216,0.0035,-0.777
"147"," ENSMUSG00000037347 "," Chst7 ",7.87e-06,0.000238,-0.773
"148"," ENSMUSG00000026933 "," Camsap1 ",2.82e-06,0.000105,-0.765
"149"," ENSMUSG00000032554 "," Trf ",3.63e-05,0.000829,-0.758
"150"," ENSMUSG00000015133 "," Lrrk1 ",3.99e-05,9e-04,-0.752
"151"," ENSMUSG00000052384 "," Nrros ",0.00163,0.0167,-0.748
"152"," ENSMUSG00000020770 "," Unk ",0.000117,0.00212,-0.744
"153"," ENSMUSG00000021257 "," Angel1 ",0.0043,0.0343,-0.743
"154"," ENSMUSG00000044674 "," Fzd1 ",0.000115,0.0021,-0.742
"155"," ENSMUSG00000047793 "," Sned1 ",0.000203,0.00331,-0.742
"156"," ENSMUSG00000010175 "," Prox1 ",3.6e-06,0.000127,-0.742
"157"," ENSMUSG00000079481 "," Nhsl2 ",0.000512,0.0068,-0.74
"158"," ENSMUSG00000038371 "," Sbf2 ",0.00121,0.0132,-0.737
"159"," ENSMUSG00000038178 "," Slc43a2 ",0.011,0.0669,-0.736
"160"," ENSMUSG00000020914 "," Top2a ",0.00669,0.0474,-0.732
"161"," ENSMUSG00000057367 "," Birc2 ",0.000873,0.0102,-0.731
"162"," ENSMUSG00000032560 "," Dnajc13 ",3.03e-07,1.65e-05,-0.731
